# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are:

# C=  Circular tube
# H=  H- or I-profile
# R=  Rectangular
# RH= Rectangular hollow
# U=  U-profile

# Additional profile types must be implemented in ArchProfile.py first

###########################################


# Circular Hollow Sections

# Category,Name,C,Outside diameter,Thickness

IPE,IPER400,H,178,407,10.6,17
IPE,IPER450,H,188,458,11.3,18.6
IPE,IPER500,H,198,508,12.6,20
IPE,IPER550,H,210,560,14,22.2
IPE,IPER600,H,218,608,14,23
IPE,IPEV400,H,182,408,10.6,17.5
IPE,IPEV450,H,194,460,12.4,19.6
IPE,IPEV500,H,204,514,14.2,23
IPE,IPEV550,H,216,566,17.1,25.2
IPE,IPEV600,H,228,618,18,28
IPE,IPE750x137,H,263,753,11.5,17
IPE,IPE750x147,H,265,753,13.2,17
IPE,IPE750x161,H,266,758,13.8,19.3
IPE,IPE750x173,H,267,762,14.4,21.6
IPE,IPE750x185,H,267,766,14.9,23.6
IPE,IPE750x196,H,268,770,15.6,25.4
IPE,IPE750x210,H,268,775,16,28
IPE,IPE750x222,H,269,778,17,29.5

# British Universal Beam (UB) profiles

UB,UB127x76x13,H,76,127,4,7.6
UB,UB152x89x16,H,88.7,152.4,4.5,7.7
UB,UB178x102x19,H,101.2,177.8,4.8,7.9
UB,UB203x102x23,H,101.8,203.2,5.4,9.3
UB,UB203x133x25,H,133.2,203.2,5.7,7.8
UB,UB203x133x30,H,133.9,206.8,6.4,9.6
UB,UB254x102x22,H,101.6,254,5.7,6.8
UB,UB254x102x25,H,101.9,257.2,6,8.4
UB,UB254x102x28,H,102.2,260.4,6.3,10
UB,UB254x146x31,H,146.1,251.4,6,8.6
UB,UB254x146x37,H,146.4,256,6.3,10.9
UB,UB254x146x43,H,147.3,259.6,7.2,12.7
UB,UB305x102x25,H,101.6,305.1,5.8,7
UB,UB305x102x28,H,101.8,308.7,6,8.8
UB,UB305x102x33,H,102.4,312.7,6.6,10.8
UB,UB305x127x37,H,123.4,304.4,7.1,10.7
UB,UB305x127x42,H,124.3,307.2,8,12.1
UB,UB305x127x48,H,125.3,311,9,14
UB,UB305x165x40,H,165,303.4,6,10.2
UB,UB305x165x46,H,165.7,306.6,6.7,11.8
UB,UB305x165x54,H,166.9,310.4,7.9,13.7
UB,UB356x127x33,H,125.4,349,6,8.5
UB,UB356x127x39,H,126,353.4,6.6,10.7
UB,UB356x171x45,H,171.1,351.4,7,9.7
UB,UB356x171x51,H,171.5,355,7.4,11.5
UB,UB356x171x57,H,172.2,358,8.1,13
UB,UB356x171x67,H,173.2,363.4,9.1,15.7
UB,UB406x140x39,H,141.8,398,6.4,8.6
UB,UB406x140x46,H,142.2,403.2,6.8,11.2
UB,UB406x178x54,H,177.7,402.6,7.7,10.9
UB,UB406x178x60,H,177.9,406.4,7.9,12.8
UB,UB406x178x67,H,178.8,409.4,8.8,14.3
UB,UB406x178x74,H,179.5,412.8,9.5,16
UB,UB457x152x52,H,152.4,449.8,7.6,10.9
UB,UB457x152x60,H,152.9,454.6,8.1,13.3
UB,UB457x152x67,H,153.8,458,9,15
UB,UB457x152x74,H,154.4,462,9.6,17
UB,UB457x152x82,H,155.3,465.8,10.5,18.9
UB,UB457x191x67,H,189.9,453.4,8.5,12.7
UB,UB457x191x74,H,190.4,457,9,14.5
UB,UB457x191x82,H,191.3,460,9.9,16
UB,UB457x191x89,H,191.9,463.4,10.5,17.7
UB,UB457x191x98,H,192.8,467.2,11.4,19.6
UB,UB533x210x82,H,208.8,528.3,9.6,13.2
UB,UB533x210x92,H,209.3,533.1,10.1,15.6
UB,UB533x210x101,H,210,536.7,10.8,17.4
UB,UB533x210x109,H,210.8,539.5,11.6,18.8
UB,UB533x210x122,H,211.9,544.5,12.7,21.3
UB,UB610x229x101,H,227.6,602.6,10.5,14.8
UB,UB610x229x113,H,228.2,607.6,11.1,17.3
UB,UB610x229x125,H,229,612.2,11.9,19.6
UB,UB610x229x140,H,230.2,617.2,13.1,22.1
UB,UB610x305x149,H,304.8,612.4,11.8,19.7
UB,UB610x305x179,H,307.1,620.2,14.1,23.6
UB,UB610x305x238,H,311.4,635.8,18.4,31.4
UB,UB686x254x125,H,253,677.9,11.7,16.2
UB,UB686x254x140,H,253.7,683.5,12.4,19
UB,UB686x254x152,H,254.5,687.5,13.2,21
UB,UB686x254x170,H,255.8,692.9,14.5,23.7
UB,UB762x267x134,H,264.4,750,12,15.5
UB,UB762x267x147,H,265.2,754,12.8,17.5
UB,UB762x267x173,H,266.7,762.2,14.3,21.6
UB,UB762x267x197,H,268,769.8,15.6,25.4
UB,UB838x292x176,H,291.7,834.9,14,18.8
UB,UB838x292x194,H,292.4,840.7,14.7,21.7
UB,UB838x292x226,H,293.8,850.9,16.1,26.8
UB,UB914x305x201,H,303.3,903,15.1,20.2
UB,UB914x305x224,H,304.1,910.4,15.9,23.9
UB,UB914x305x253,H,305.5,918.4,17.3,27.9
UB,UB914x305x289,H,307.7,926.6,19.5,32
UB,UB914x419x343,H,418.5,911.8,19.4,32
UB,UB914x419x388,H,420.5,921,21.4,36.6
UB,UB1016x305x222,H,300,970.3,16,21.1
UB,UB1016x305x249,H,300,980.2,16.5,26
UB,UB1016x305x272,H,300,990.1,16.5,31
UB,UB1016x305x314,H,300,1000,19.1,35.9
UB,UB1016x305x349,H,302,1008.1,21.1,40
UB,UB1016x305x393,H,303,1016,24.4,43.9
UB,UB1016x305x437,H,305.4,1025.9,26.9,49
UB,UB1016x305x487,H,308.5,1036.1,30,54.1


# American Wide Flange W profiles

American Wide Flange,W4x13,H,103.124,105.664,7.112,8.763
American Wide Flange,W5x16,H,127,127.254,6.096,9.144
American Wide Flange,W5x19,H,127.762,130.81,6.858,10.922
American Wide Flange,W6x9,H,100.076,149.86,4.318,5.461
American Wide Flange,W6x12,H,101.6,153.162,5.842,7.112
American Wide Flange,W6x15,H,152.146,152.146,5.842,6.604
American Wide Flange,W6x16,H,102.362,159.512,6.604,10.287
American Wide Flange,W6x20,H,152.908,157.48,6.604,9.271
American Wide Flange,W6x25,H,154.432,162.052,8.128,11.557
American Wide Flange,W8x10,H,100.076,200.406,4.318,5.207
American Wide Flange,W8x13,H,101.6,202.946,5.842,6.477
American Wide Flange,W8x15,H,101.981,205.994,6.223,8.001
American Wide Flange,W8x18,H,133.35,206.756,5.842,8.382
American Wide Flange,W8x21,H,133.858,210.312,6.35,10.16
American Wide Flange,W8x24,H,164.973,201.422,6.223,10.16
American Wide Flange,W8x28,H,165.989,204.724,7.239,11.811
American Wide Flange,W8x31,H,203.073,203.2,7.239,11.049
American Wide Flange,W8x35,H,203.708,206.248,7.874,12.573
American Wide Flange,W8x40,H,204.978,209.55,9.144,14.224
American Wide Flange,W8x48,H,205.994,215.9,10.16,17.399
American Wide Flange,W8x58,H,208.788,222.25,12.954,20.574
American Wide Flange,W8x67,H,210.312,228.6,14.478,23.749
American Wide Flange,W10x12,H,100.584,250.698,4.826,5.334
American Wide Flange,W10x15,H,101.6,253.746,5.842,6.858
American Wide Flange,W10x17,H,101.854,256.794,6.096,8.382
American Wide Flange,W10x19,H,102.108,260.096,6.35,10.033
American Wide Flange,W10x22,H,146.05,258.318,6.096,9.144
American Wide Flange,W10x26,H,146.558,262.382,6.604,11.176
American Wide Flange,W10x30,H,147.574,265.938,7.62,12.954
American Wide Flange,W10x33,H,202.184,247.142,7.366,11.049
American Wide Flange,W10x39,H,202.819,251.968,8.001,13.462
American Wide Flange,W10x45,H,203.708,256.54,8.89,15.748
American Wide Flange,W10x49,H,254,253.492,8.636,14.224
American Wide Flange,W10x54,H,254.762,256.286,9.398,15.621
American Wide Flange,W10x60,H,256.032,259.588,10.668,17.272
American Wide Flange,W10x68,H,257.302,264.16,11.938,19.558
American Wide Flange,W10x77,H,258.826,269.24,13.462,22.098
American Wide Flange,W10x88,H,260.731,275.336,15.367,25.146
American Wide Flange,W10x100,H,262.636,281.94,17.272,28.2448
American Wide Flange,W10x112,H,264.541,288.544,19.177,31.75
American Wide Flange,W12x14,H,100.838,302.514,5.08,5.715
American Wide Flange,W12x16,H,101.346,304.546,5.588,6.731
American Wide Flange,W12x19,H,101.727,308.864,5.969,8.89
American Wide Flange,W12x22,H,102.362,312.674,6.604,10.795
American Wide Flange,W12x26,H,164.846,310.388,5.842,9.652
American Wide Flange,W12x30,H,165.608,313.436,6.604,11.176
American Wide Flange,W12x35,H,166.624,317.5,7.62,13.208
American Wide Flange,W12x40,H,203.327,303.276,7.493,13.081
American Wide Flange,W12x45,H,204.343,306.324,8.509,14.605
American Wide Flange,W12x50,H,205.232,309.626,9.398,16.256
American Wide Flange,W12x53,H,253.873,306.324,8.763,14.605
American Wide Flange,W12x58,H,254.254,309.626,9.144,16.256
American Wide Flange,W12x65,H,304.8,307.848,9.906,15.367
American Wide Flange,W12x72,H,305.816,311.15,10.922,17.018
American Wide Flange,W12x79,H,306.832,314.452,11.938,18.669
American Wide Flange,W12x87,H,307.975,318.262,13.081,20.574
American Wide Flange,W12x96,H,308.864,322.834,13.97,22.86
American Wide Flange,W12x106,H,310.388,327.406,15.494,25.146
American Wide Flange,W12x120,H,312.928,333.248,18.034,28.067
American Wide Flange,W12x136,H,314.96,340.614,20.066,31.75
American Wide Flange,W14x22,H,127,348.996,5.842,8.509
American Wide Flange,W14x26,H,127.635,353.314,6.477,10.668
American Wide Flange,W14x30,H,170.942,351.536,6.858,9.779
American Wide Flange,W14x34,H,171.323,355.092,7.239,11.557
American Wide Flange,W14x38,H,171.958,358.14,7.874,13.081
American Wide Flange,W14x43,H,203.073,346.964,7.747,13.462
American Wide Flange,W14x48,H,203.962,350.266,8.636,15.113
American Wide Flange,W14x53,H,204.724,353.568,9.398,16.764
American Wide Flange,W14x61,H,253.873,352.806,9.525,16.383
American Wide Flange,W14x68,H,254.889,356.616,10.541,18.288
American Wide Flange,W14x74,H,255.778,359.918,11.43,19.939
American Wide Flange,W14x82,H,257.302,363.474,12.954,21.717
American Wide Flange,W14x90,H,368.808,356.108,11.176,18.034
American Wide Flange,W14x99,H,369.951,359.664,12.319,19.812
American Wide Flange,W14x109,H,370.967,363.728,13.335,21.844
American Wide Flange,W14x120,H,372.618,367.792,14.986,23.876
American Wide Flange,W14x132,H,374.015,372.364,16.383,26.162
American Wide Flange,W16x26,H,139.7,398.526,6.35,8.763
American Wide Flange,W16x31,H,140.335,403.352,6.985,11.176
American Wide Flange,W16x36,H,177.419,402.844,7.493,10.922
American Wide Flange,W16x40,H,177.673,406.654,7.747,12.827
American Wide Flange,W16x45,H,178.689,409.702,8.763,14.351
American Wide Flange,W16x50,H,179.578,413.004,9.652,16.002
American Wide Flange,W16x57,H,180.848,417.322,10.922,18.161
American Wide Flange,W16x67,H,259.969,414.782,10.033,16.891
